time,xArm,yArm,zArm,xtraj,ytraj,ztraj,xGoal,yGoal,zGoal,xPArm,yPArm,zPArm
1.44,0.021912,0.00883155,0.617055,0.497772,0.0548352,0.605612,-0.330579,-0.721611,0.854624,0.535844,0.0143852,0.583193
1.458,0.0205871,0.0109873,0.614738,0.498234,0.0554856,0.60427,-0.330579,-0.721611,0.854624,0.538499,0.0168635,0.580377
1.476,0.0159033,0.0133579,0.613421,0.498693,0.0561352,0.60293,-0.330579,-0.721611,0.854624,0.540696,0.0195661,0.578652
1.494,0.0211868,0.0155577,0.61312,0.499149,0.056784,0.601593,-0.330579,-0.721611,0.854624,0.542526,0.0220999,0.578154
1.512,0.0210747,0.0176891,0.613583,0.499602,0.0574318,0.600256,-0.330579,-0.721611,0.854624,0.544125,0.0245676,0.578639
1.53,0.0218867,0.0198984,0.614503,0.500052,0.0580788,0.598922,-0.330579,-0.721611,0.854624,0.545663,0.0271545,0.579683
1.548,0.0211343,0.0222018,0.615702,0.500499,0.0587249,0.59759,-0.330579,-0.721611,0.854624,0.547264,0.0298655,0.581052
1.566,0.0216271,0.0245421,0.617034,0.500944,0.0593702,0.596259,-0.330579,-0.721611,0.854624,0.549005,0.032632,0.582576
1.584,0.0205663,0.0268547,0.618374,0.501385,0.0600146,0.59493,-0.330579,-0.721611,0.854624,0.550935,0.035372,0.584107
1.602,0.0193158,0.0291155,0.619639,0.501823,0.0606581,0.593603,-0.330579,-0.721611,0.854624,0.553088,0.0380524,0.585547
1.62,0.0165673,0.0316649,0.619817,0.502259,0.0613008,0.592277,-0.330579,-0.721611,0.854624,0.5558,0.0410644,0.586063
1.638,0.0189973,0.0347579,0.617993,0.502692,0.0619426,0.590954,-0.330579,-0.721611,0.854624,0.55863,0.0449686,0.583989
1.656,0.020781,0.0372438,0.616227,0.503122,0.0625836,0.589632,-0.330579,-0.721611,0.854624,0.560844,0.0480195,0.581846
1.674,0.0220188,0.0389572,0.6153,0.503548,0.0632236,0.588312,-0.330579,-0.721611,0.854624,0.562906,0.0500893,0.580606
1.692,0.0183579,0.0404285,0.615181,0.503973,0.0638628,0.586994,-0.330579,-0.721611,0.854624,0.56466,0.0519417,0.580292
1.71,0.0206742,0.0418741,0.615893,0.504394,0.0645012,0.585677,-0.330579,-0.721611,0.854624,0.566065,0.053795,0.581074
1.728,0.0206225,0.0433396,0.617165,0.504812,0.0651387,0.584362,-0.330579,-0.721611,0.854624,0.567387,0.0556896,0.582537
1.746,0.0200244,0.0448926,0.618758,0.505228,0.0657753,0.583049,-0.330579,-0.721611,0.854624,0.568801,0.0576894,0.584361
1.764,0.0194531,0.0465939,0.620473,0.50564,0.0664111,0.581738,-0.330579,-0.721611,0.854624,0.570374,0.059838,0.586322
1.782,0.0199595,0.0484586,0.622154,0.50605,0.067046,0.580429,-0.330579,-0.721611,0.854624,0.57213,0.0621659,0.588245
1.8,0.0177223,0.0504232,0.623723,0.506457,0.06768,0.579121,-0.330579,-0.721611,0.854624,0.574097,0.0646055,0.590033
1.818,0.0131552,0.0520613,0.624091,0.506861,0.0683132,0.577815,-0.330579,-0.721611,0.854624,0.576772,0.0666994,0.590775
1.836,0.0207179,0.0534729,0.62217,0.507262,0.0689455,0.576511,-0.330579,-0.721611,0.854624,0.579914,0.0684829,0.588569
1.854,0.0209252,0.0555357,0.620384,0.507661,0.0695769,0.575209,-0.330579,-0.721611,0.854624,0.58225,0.070775,0.586347
1.872,0.0223761,0.0577339,0.619692,0.508056,0.0702075,0.573909,-0.330579,-0.721611,0.854624,0.584193,0.0732449,0.585352
1.89,0.0207036,0.0597673,0.61988,0.508449,0.0708372,0.57261,-0.330579,-0.721611,0.854624,0.585812,0.0755763,0.58539
1.908,0.0199338,0.0617566,0.620848,0.508839,0.071466,0.571313,-0.330579,-0.721611,0.854624,0.587101,0.0778357,0.58646
1.926,0.0197334,0.0637822,0.622291,0.509226,0.072094,0.570018,-0.330579,-0.721611,0.854624,0.588327,0.0801722,0.588114
1.944,0.0159631,0.065875,0.623953,0.509611,0.0727212,0.568725,-0.330579,-0.721611,0.854624,0.589671,0.082616,0.590011
1.962,0.0116916,0.0680034,0.625675,0.509992,0.0733474,0.567433,-0.330579,-0.721611,0.854624,0.591188,0.0851103,0.591971
1.98,0.00880499,0.0701049,0.627348,0.510371,0.0739728,0.566143,-0.330579,-0.721611,0.854624,0.592914,0.0875698,0.593881
1.998,0.00730376,0.0721753,0.6289,0.510747,0.0745973,0.564855,-0.330579,-0.721611,0.854624,0.594888,0.0899875,0.59565
2.016,0.00723298,0.0742473,0.630311,0.511121,0.075221,0.563569,-0.330579,-0.721611,0.854624,0.59713,0.0923955,0.59725
2.034,0.00748672,0.0767814,0.630463,0.511491,0.0758438,0.562285,-0.330579,-0.721611,0.854624,0.600015,0.0953439,0.597711
2.052,0.00728372,0.0799067,0.628455,0.511859,0.0764657,0.561002,-0.330579,-0.721611,0.854624,0.602968,0.0992903,0.595296
2.07,0.00712395,0.0819914,0.627108,0.512224,0.0770868,0.559721,-0.330579,-0.721611,0.854624,0.604854,0.10188,0.593584
2.088,0.00747871,0.0831156,0.62712,0.512586,0.077707,0.558442,-0.330579,-0.721611,0.854624,0.606425,0.103285,0.593424
2.106,0.007587,0.0840195,0.628068,0.512946,0.0783264,0.557165,-0.330579,-0.721611,0.854624,0.607676,0.104541,0.594364
2.124,0.00731723,0.0848899,0.629699,0.513303,0.0789448,0.555889,-0.330579,-0.721611,0.854624,0.608535,0.105815,0.596212
2.142,0.00717517,0.0857581,0.631665,0.513657,0.0795624,0.554616,-0.330579,-0.721611,0.854624,0.60929,0.107115,0.598519
2.16,0.00741084,0.0867053,0.633631,0.514008,0.0801792,0.553344,-0.330579,-0.721611,0.854624,0.61016,0.108519,0.600832
